dtPregao;cdBDI;cdNegociacao;tpMercado;nmEmpresa;especificacao;pzTermo;moeda;vlAbertura;vlMax;vlMin;vlMedio;vlFecha;vlMelhorCompra;qtNegociacao;qtTitulo;volumeTot;preExe;indOpc;dtVencimento;ftCotacao;ptExe;cdISIN;noDistr
20190111;12;VLOL11;010;FII OLIMPIA;CI  ER;;R$;0000000009511;0000000009511;0000000009351;0000000009456;0000000009510;0000000009470;00086;000000000000003056;000000000028898882;0000000000000;0;99991231;0000001;0000000000000;BRVLOLCTF009;177
20190111;12;VOTS11;010;FII V MASTER;CI  ER;;R$;0000000009000;0000000009000;0000000008705;0000000008915;0000000008705;0000000008705;00004;000000000000000014;000000000000124820;0000000000000;0;99991231;0000001;0000000000000;BRVOTSCTF007;105
20190111;12;VRTA11;010;FII FATOR VE;CI  ER;;R$;0000000012150;0000000012166;0000000011802;0000000012067;0000000011899;0000000011875;00310;000000000000009512;000000000114784342;0000000000000;0;99991231;0000001;0000000000000;BRVRTACTF008;191
20190111;12;VTLT11;010;FII VOT LOG;CI  ER;;R$;0000000010080;0000000010080;0000000010000;0000000010003;0000000010000;0000000009850;00004;000000000000000026;000000000000260080;0000000000000;0;99991231;0000001;0000000000000;BRVTLTCTF001;109
20190111;02;VULC3;010;VULCABRAS;ON      NM;;R$;0000000000818;0000000000840;0000000000814;0000000000827;0000000000835;0000000000835;02497;000000000001140000;000000000942856800;0000000000000;0;99991231;0000001;0000000000000;BRVULCACNOR2;149
20190111;02;VVAR3;010;VIAVAREJO;ON      NM;;R$;0000000000450;0000000000455;0000000000433;0000000000446;0000000000451;0000000000450;34789;000000000023524800;000000010511346900;0000000000000;0;99991231;0000001;0000000000000;BRVVARACNOR1;109
20190111;02;WALM34;010;WAL MART;DRN;;R$;0000000008782;0000000008862;0000000008782;0000000008826;0000000008783;0000000008783;00004;000000000000003700;000000000032658800;0000000000000;0;99991231;0000001;0000000000000;BRWALMBDR005;133
20190111;02;WEGE3;010;WEG;ON      NM;;R$;0000000001851;0000000001877;0000000001841;0000000001860;0000000001869;0000000001869;09784;000000000009478800;000000017639277400;0000000000000;0;99991231;0000001;0000000000000;BRWEGEACNOR0;189
20190111;02;WFCO34;010;WELLS FARGO;DRN;;R$;0000000017694;0000000017738;0000000017694;0000000017708;0000000017738;0000000017738;00002;000000000000000300;000000000005312600;0000000000000;0;99991231;0000001;0000000000000;BRWFCOBDR009;134
20190111;02;WHRL3;010;WHIRLPOOL;ON;;R$;0000000000450;0000000000450;0000000000450;0000000000450;0000000000450;0000000000433;00003;000000000000001100;000000000000495000;0000000000000;0;99991231;0000001;0000000000000;BRWHRLACNOR5;121
20190111;02;WHRL4;010;WHIRLPOOL;PN;;R$;0000000000484;0000000000494;0000000000474;0000000000477;0000000000494;0000000000479;00018;000000000000013300;000000000006349600;0000000000000;0;99991231;0000001;0000000000000;BRWHRLACNPR2;121
20190111;02;WIZS3;010;WIZ S.A.;ON      NM;;R$;0000000000767;0000000000790;0000000000767;0000000000781;0000000000780;0000000000780;03696;000000000001018000;000000000795879200;0000000000000;0;99991231;0000001;0000000000000;BRWIZSACNOR1;103
20190111;02;WLMM4;010;WLM IND COM;PN;;R$;0000000000522;0000000000549;0000000000520;0000000000530;0000000000545;0000000000524;00006;000000000000001700;000000000000902600;0000000000000;0;99991231;0000001;0000000000000;BRWLMMACNPR3;100
20190111;02;WSON33;010;WILSON SONS;DR3;;R$;0000000003998;0000000004077;0000000003880;0000000003900;0000000004023;0000000004000;00081;000000000000248400;000000000968959800;0000000000000;0;99991231;0000001;0000000000000;BRWSONBDR009;111
20190111;02;WUNI34;010;WESTERNUNION;DRN;;R$;0000000006517;0000000006517;0000000006517;0000000006517;0000000006517;0000000000000;00001;000000000000001900;000000000012382300;0000000000000;0;99991231;0000001;0000000000000;BRWUNIBDR007;114
20190111;14;XBOV11;010;CAIXAETFXBOV;CI;;R$;0000000009200;0000000009226;0000000009200;0000000009204;0000000009226;0000000009225;00002;000000000000000060;000000000000552260;0000000000000;0;99991231;0000001;0000000000000;BRXBOVCTF005;100
20190111;12;XPCM11;010;FII XP MACAE;CI  ER;;R$;0000000009532;0000000009559;0000000009491;0000000009517;0000000009520;0000000009519;00173;000000000000007428;000000000070693618;0000000000000;0;99991231;0000001;0000000000000;BRXPCMCTF009;170
20190111;12;XPIN11;010;FII XP INDL;CI  ERS;;R$;0000000011100;0000000011100;0000000011000;0000000011013;0000000011100;0000000011000;00031;000000000000000548;000000000006035124;0000000000000;0;99991231;0000001;0000000000000;BRXPINCTF004;107
20190111;12;XPLG11;010;FII XP LOG;CI  ER;;R$;0000000010300;0000000010345;0000000010240;0000000010303;0000000010243;0000000010243;00683;000000000000012476;000000000128545295;0000000000000;0;99991231;0000001;0000000000000;BRXPLGCTF002;107
20190111;12;XPML11;010;FII XP MALLS;CI;;R$;0000000010802;0000000010802;0000000010500;0000000010677;0000000010600;0000000010599;00815;000000000000013199;000000000140935006;0000000000000;0;99991231;0000001;0000000000000;BRXPMLCTF000;113
20190111;14;XPOM11;010;FIP XP OMEGA;CI  ED;;R$;0000000010630;0000000010630;0000000010599;0000000010625;0000000010599;0000000010450;00003;000000000000000119;000000000001264381;0000000000000;0;99991231;0000001;0000000000000;BRXPOMCTF004;116
