dtPregao;cdBDI;cdNegociacao;tpMercado;nmEmpresa;especificacao;pzTermo;moeda;vlAbertura;vlMax;vlMin;vlMedio;vlFecha;vlMelhorCompra;qtNegociacao;qtTitulo;volumeTot;preExe;indOpc;dtVencimento;ftCotacao;ptExe;cdISIN;noDistr
20181001;02;AALR3;010;ALLIAR;ON      NM;;R$;0000000001170;0000000001172;0000000001148;0000000001157;0000000001150;0000000001145;00349;000000000000080400;000000000093043500;0000000000000;0;99991231;0000001;0000000000000;BRAALRACNOR6;100
20181001;02;AAPL34;010;APPLE;DRN;;R$;0000000009050;0000000009279;0000000009048;0000000009181;0000000009048;0000000009048;00016;000000000000022700;000000000208427700;0000000000000;0;99991231;0000001;0000000000000;BRAAPLBDR004;126
20181001;02;ABBV34;010;ABBVIE;DRN;;R$;0000000038286;0000000038286;0000000038286;0000000038286;0000000038286;0000000000000;00001;000000000000000200;000000000007657200;0000000000000;0;99991231;0000001;0000000000000;BRABBVBDR001;110
20181001;10;ABCB10;010;ABC BRASIL;PN  REC N2;;R$;0000000001352;0000000001352;0000000001352;0000000001352;0000000001352;0000000000000;00001;000000000000000200;000000000000270400;0000000000000;0;99991231;0000001;0000000000000;BRABCBR14PR2;129
20181001;02;ABCB4;010;ABC BRASIL;PN      N2;;R$;0000000001400;0000000001401;0000000001350;0000000001365;0000000001358;0000000001358;01994;000000000000313900;000000000428574000;0000000000000;0;99991231;0000001;0000000000000;BRABCBACNPR4;130
20181001;12;ABCP11;010;FII ABC IMOB;CI  ER;;R$;0000000001616;0000000001618;0000000001608;0000000001612;0000000001609;0000000001608;00257;000000000000010175;000000000016403812;0000000000000;0;99991231;0000001;0000000000000;BRABCPCTF000;276
20181001;02;ABEV3;010;AMBEV S/A;ON;;R$;0000000001835;0000000001855;0000000001835;0000000001847;0000000001843;0000000001843;16236;000000000006236800;000000011519927300;0000000000000;0;99991231;0000001;0000000000000;BRABEVACNOR1;120
20181001;02;ABTT34;010;ABBOTT;DRN;;R$;0000000007520;0000000007520;0000000007520;0000000007520;0000000007520;0000000000000;00001;000000000000001300;000000000009776000;0000000000000;0;99991231;0000001;0000000000000;BRABTTBDR007;127
20181001;02;ACNB34;010;ACCENTURE;DRN;;R$;0000000070294;0000000070294;0000000070294;0000000070294;0000000070294;0000000000000;00001;000000000000000100;000000000007029400;0000000000000;0;99991231;0000001;0000000000000;BRACNBBDR006;106
20181001;02;ADHM3;010;ADVANCED-DH;ON;;R$;0000000000170;0000000000170;0000000000170;0000000000170;0000000000170;0000000000162;00002;000000000000001000;000000000000170000;0000000000000;0;99991231;0000001;0000000000000;BRADHMACNOR9;101
20181001;12;AEFI11;010;FII AESAPAR;CI  ER;;R$;0000000013350;0000000013350;0000000012981;0000000013070;0000000012999;0000000012980;00102;000000000000001159;000000000015148741;0000000000000;0;99991231;0000001;0000000000000;BRAEFICTF002;182
20181001;02;AETB34;010;AETNA INC;DRN;;R$;0000000082479;0000000082479;0000000082479;0000000082479;0000000082479;0000000000000;00001;000000000000000100;000000000008247900;0000000000000;0;99991231;0000001;0000000000000;BRAETBBDR009;108
20181001;12;AGCX11;010;FII AG CAIXA;CI  ER;;R$;0000000099000;0000000099200;0000000098001;0000000098455;0000000099200;0000000098301;00050;000000000000000208;000000000020478752;0000000000000;0;99991231;0000001;0000000000000;BRAGCXCTF003;171
20181001;02;AGRO3;010;BRASILAGRO;ON      NM;;R$;0000000001358;0000000001364;0000000001351;0000000001355;0000000001357;0000000001357;00108;000000000000029700;000000000040264300;0000000000000;0;99991231;0000001;0000000000000;BRAGROACNOR7;107
20181001;02;AIGB34;010;AIG GROUP;DRN;;R$;0000000021541;0000000021541;0000000021541;0000000021541;0000000021541;0000000000000;00001;000000000000000100;000000000002154100;0000000000000;0;99991231;0000001;0000000000000;BRAIGBBDR007;108
20181001;12;ALMI11;010;FII TORRE AL;CI  ES;;R$;0000000129800;0000000129800;0000000125601;0000000127285;0000000128000;0000000127500;00028;000000000000000090;000000000011455652;0000000000000;0;99991231;0000001;0000000000000;BRALMICTF003;250
20181001;02;ALPA4;010;ALPARGATAS;PN      N1;;R$;0000000001225;0000000001236;0000000001193;0000000001206;0000000001204;0000000001198;01197;000000000000214100;000000000258222700;0000000000000;0;99991231;0000001;0000000000000;BRALPAACNPR7;227
20181001;02;ALSC3;010;ALIANSCE;ON      NM;;R$;0000000001480;0000000001482;0000000001440;0000000001461;0000000001467;0000000001467;03155;000000000000599000;000000000875310000;0000000000000;0;99991231;0000001;0000000000000;BRALSCACNOR0;111
20181001;02;ALUP11;010;ALUPAR;UNT     N2;;R$;0000000001576;0000000001591;0000000001550;0000000001571;0000000001591;0000000001555;01822;000000000000410400;000000000644772800;0000000000000;0;99991231;0000001;0000000000000;BRALUPCDAM15;108
20181001;02;ALUP3;010;ALUPAR;ON      N2;;R$;0000000000670;0000000000734;0000000000660;0000000000688;0000000000734;0000000000661;00003;000000000000000300;000000000000206400;0000000000000;0;99991231;0000001;0000000000000;BRALUPACNOR8;108
20181001;02;ALUP4;010;ALUPAR;PN      N2;;R$;0000000000450;0000000000450;0000000000446;0000000000448;0000000000446;0000000000439;00004;000000000000000800;000000000000358600;0000000000000;0;99991231;0000001;0000000000000;BRALUPACNPR5;108
20181001;12;ALZR11;010;FII ALIANZA;CI;;R$;0000000008990;0000000009095;0000000008980;0000000009009;0000000008981;0000000008981;00061;000000000000000934;000000000008414885;0000000000000;0;99991231;0000001;0000000000000;BRALZRCTF006;108
20181001;02;AMAR3;010;LOJAS MARISA;ON      NM;;R$;0000000000400;0000000000405;0000000000381;0000000000389;0000000000388;0000000000385;00954;000000000000671900;000000000261622200;0000000000000;0;99991231;0000001;0000000000000;BRAMARACNOR4;112
20181001;02;AMGN34;010;AMGEN;DRN;;R$;0000000084135;0000000084135;0000000084135;0000000084135;0000000084135;0000000000000;00001;000000000000000100;000000000008413500;0000000000000;0;99991231;0000001;0000000000000;BRAMGNBDR004;127
20181001;02;AMZO34;010;AMAZON;DRN;;R$;0000000407866;0000000407866;0000000407866;0000000407866;0000000407866;0000000000000;00001;000000000000000100;000000000040786600;0000000000000;0;99991231;0000001;0000000000000;BRAMZOBDR002;101
20181001;02;ANIM3;010;ANIMA;ON      NM;;R$;0000000001382;0000000001383;0000000001310;0000000001330;0000000001317;0000000001317;01107;000000000000176500;000000000234795900;0000000000000;0;99991231;0000001;0000000000000;BRANIMACNOR6;105
20181001;02;ARMT34;010;ARCELOR;DRN;;R$;0000000006215;0000000006325;0000000006215;0000000006292;0000000006325;0000000000000;00002;000000000000001700;000000000010697500;0000000000000;0;99991231;0000001;0000000000000;BRARMTBDR008;116
